id,code,name,address,state,zone
4416,MGT,"Magra Hat","Magra Hat, West Bengal","West Bengal",ER
4417,MGV,Molagavalli,"Peddahoturu, Andhra Pradesh","Andhra Pradesh",SCR
4418,MGVK,"Malegaon Vyenku","National Highway 69, Maharashtra",Maharashtra,SECR
4419,MGW,Magarwara,"Unnao, Uttar Pradesh","Uttar Pradesh",NR
4420,MGWD,"Mahngarwal Doaba","Mahngarwal Doaba, Punjab",Punjab,NR
4421,MGWN,"Mahgawan Halt","Nawab Yousuf Rd, Uttar Pradesh","Uttar Pradesh",NR
4422,MGX,Mailongdisa,"Mailongdisa, Assam",Assam,NFR
4423,MH,Marahra,,,CR
4424,MHA,Marahra,"Etah, Uttar Pradesh","Uttar Pradesh",NER
4425,MHAD,"Mohadi Pragane Laling","Dhule, Maharashtra",Maharashtra,CR
4426,MHBG,"Mahadev Buzurg","Mahadeva Buzrug, Uttar Pradesh","Uttar Pradesh",NER
4427,MHBT,"Mahbub Nagar Town Halt","Mahbubnagar, Andhra Pradesh","Andhra Pradesh",SCR
4428,MHBZ,"Mahtha Bazar","Mahtha Bazar, Uttar Pradesh","Uttar Pradesh",NER
4429,MHC,Masrakh,"Mashrakh, Bihar",Bihar,NER
4430,MHD,"Mahemdavad Kheda Road","Mahemdavad, Gujarat",Gujarat,WR
4431,MHDA,Mahdeiya,"Singrauli, Madhya Pradesh","Madhya Pradesh",ECR
4432,MHDB,"Mahadia Ph","Mahadia, Orissa",Orissa,ECoR
4433,MHDP,Mahadevpara,"State Highway 9, Gujarat",Gujarat,WR
4434,MHF,"Mohari Junction","State Highway 43, Rajasthan",Rajasthan,NCR
4435,MHH,Maghar,"NH 28, Uttar Pradesh","Uttar Pradesh",NER
4436,MHHR,Mahesra,"NH 24, Uttar Pradesh","Uttar Pradesh",NR
4437,MHI,Manihari,"Manihari Railway Station, Bihar",Bihar,NFR
4438,MHJ,Mahajan,"Mahajan, Rajasthan",Rajasthan,NWR
4439,MHL,Mahwal,"Muzaffarpur, Bihar",Bihar,ECR
4440,MHLT,"Mahesh Leta Halt",,,?
4441,MHMB,Mahimba,"Nanded, Maharashtra",Maharashtra,SCR
4442,MHN,Mahanadi,"Pankhabari Rd, West Bengal","West Bengal",NFR
4443,MHO,Mahpur,"Mahpur Bhimapar Marg, Uttar Pradesh","Uttar Pradesh",NER
4444,MHOW,Mhow,"Mhow, Madhya Pradesh","Madhya Pradesh",WR
4445,MHP,Muhammadpur,"Darbhanga, Bihar",Bihar,ECR
4446,MHQ,Mahuda,"National Highway 32, Jharkhand",Jharkhand,SER
4447,MHRG,Mahendragarh,"Mahendragarh, Haryana",Haryana,NWR
4448,MHRL,Mahrail,"Mahrail, Bihar",Bihar,ECR
4449,MHRN,Mahendranath,"Mahendrana, Uttar Pradesh","Uttar Pradesh",NER
4450,MHT,Manjhi,"National Highway 19, Bihar",Bihar,NER
4451,MHTR,"Malihati Talibpur Road","Rd, West Bengal","West Bengal",ER
4452,MHU,Manheru,"Bhiwani, Haryana",Haryana,NWR
4453,MHUA,Mahudha,"Madhuda, Gujarat",Gujarat,WR
4454,MHUR,Mohanpur,"Mohanpur, Jharkhand",Jharkhand,ER
4455,MHV,"Mahuva Junction","Mahuva, Gujarat",Gujarat,WR
4456,MIA,Mania,"Manda, Rajasthan",Rajasthan,NCR
4457,MIAL,Milaoli,"National Highway 3, Madhya Pradesh","Madhya Pradesh",NCR
4458,MIAN,Miangram,"Bazarsau, West Bengal","West Bengal",ER
4459,MID,Madhi,"Madhi, Gujarat",Gujarat,WR
4460,MIH,Mihrawan,"Nawab Yousuf Rd, Uttar Pradesh","Uttar Pradesh",NR
4461,MIJ,Majhdia,"Banpur-Majhdia Rd, West Bengal","West Bengal",ER
4462,MIK,Manikul,"National Highway 33, Jharkhand",Jharkhand,SER
4463,MIL,Milak,"Milak, Uttar Pradesh","Uttar Pradesh",NR
4464,MIM,Maniram,"National Highway 29, Uttar Pradesh","Uttar Pradesh",NER
4465,MIN,Mihinpurwa,"Mihinpurwa, Uttar Pradesh","Uttar Pradesh",NER
4466,MINA,Miyana,"Guna, Madhya Pradesh","Madhya Pradesh",WCR
4467,MINJ,MaikalGanj,"National Highway 24, Uttar Pradesh","Uttar Pradesh",NR
4468,MIO,Molisar,"Churu, Rajasthan",Rajasthan,NWR
4469,MIPM,Marripalem,"Vishakhapatnam, Andhra Pradesh","Andhra Pradesh",ECoR
4470,MIQ,Mirhakur,"Idgah Agra, Uttar Pradesh","Uttar Pradesh",NCR
4471,MIR,Maijapur,"MDR 18E, Uttar Pradesh","Uttar Pradesh",NER
4472,MIRA,"Mira Road","Mira Bhayandar, Maharashtra",Maharashtra,WR
4473,MIU,Maripat,"National Highway 91, Uttar Pradesh","Uttar Pradesh",NCR
4474,MIW,Mighauna,"Mighauna, Uttar Pradesh","Uttar Pradesh",NER
4475,MIYN,Maniyan,"Maniyan, Bihar",Bihar,?
4476,MJ,"Marwar Junction","Marwar Junction, Rajasthan",Rajasthan,NWR
4477,MJA,"Meja Road","District Allahabad, Uttar Pradesh","Uttar Pradesh",NCR
4478,MJBK,"Manjari Budruk","Pune, Maharashtra",Maharashtra,CR
4479,MJE,Mujnal,"National Highway 31C, West Bengal","West Bengal",NFR
4480,MJF,Malkajgiri,"Secunderabad, Andhra Pradesh","Andhra Pradesh",SCR
4481,MJG,Majhagawan,"Majhgawa, Madhya Pradesh","Madhya Pradesh",WCR
4482,MJGP,"Majhagawan Phatak",,,WCR
4483,MJHL,"Majada Halt","Majada Halt, Uttar Pradesh","Uttar Pradesh",NR
4484,MJHR,Majhiari,"National Highway 76, Uttar Pradesh","Uttar Pradesh",NCR
4485,MJL,Majhowlia,"Vikash Village, Bihar",Bihar,ECR
4486,MJN,"Makum Junction","Makum, Assam",Assam,NFR
4487,MJNL,"Majri Nangal","State Highway 52, Rajasthan",Rajasthan,NWR
4488,MJO,Majorda,"South Goa, Goa",Goa,KR
4489,MJP,Moharajpur,"Moharajpur, Jharkhand",Jharkhand,ER
4490,MJPB,"Manjhra Purab","Manjhra Purab, Uttar Pradesh","Uttar Pradesh",NER
4491,MJR,Minjur,"Minjur, Tamil Nadu","Tamil Nadu",SR
4492,MJRI,"Majri Junction","SH 264, Maharashtra",Maharashtra,CR
4493,MJS,Manjeshwar,"NH 17, Kerala",Kerala,SR
4494,MJT,Majerhat,"Kolkata, West Bengal","West Bengal",ER
4495,MJV,Manjhagarh,"National Highway 28, Bihar",Bihar,NER
4496,MJY,Maramjhiri,"Betul, Madhya Pradesh","Madhya Pradesh",CR
4497,MJZ,"Majhola Pakarya","State Hiughway 29, Uttarakhand",Uttarakhand,NER
4498,MK,"Miranpur Katra","Shahjahanpur, Uttar Pradesh","Uttar Pradesh",NR
4499,MKA,"Mokameh Junction","National Highway 31, Bihar",Bihar,ECR
4500,MKB,Mankatha,"National Highway 80, Bihar",Bihar,ECR
4501,MKC,Maksi,"Makshi, Madhya Pradesh","Madhya Pradesh",WR
4502,MKD,Markundi,"State Highway 11, Madhya Pradesh","Madhya Pradesh",WCR
4503,MKDD,"Mukundwadi Halt","Aurangabad, Maharashtra",Maharashtra,SCR
4504,MKDI,Makudi,"Makudi, Maharashtra",Maharashtra,SCR
4505,MKDN,Morkadhana,"Nayagaon, Madhya Pradesh","Madhya Pradesh",CR
4506,MKG,"Manak Nagar","Alambagh, Uttar Pradesh","Uttar Pradesh",NR
4507,MKH,Malakhera,"Mala Khera, Rajasthan",Rajasthan,NWR
4508,MKHI,Makhi,"Unnao, Uttar Pradesh","Uttar Pradesh",NR
4509,MKHR,"Marwar Khara","Jodhpur, Rajasthan",Rajasthan,NWR
4510,MKI,Motihari,"Motihari, Bihar",Bihar,ECR
4511,MKJ,Makkajipalli,"Gutturu, Andhra Pradesh","Andhra Pradesh",SWR
4512,MKK,Kodambakam,"Chennai, Tamil Nadu","Tamil Nadu",SR
4513,MKL,Makalidurga,"State Highway 9, Karnataka",Karnataka,SWR
4514,MKLI,Makrauli,"Rohtak, Haryana",Haryana,NR
4515,MKM,Marikuppam,"Kolar Gold Fields, Karnataka",Karnataka,SWR
4516,MKN,"Makrana Junction","Makrana, Rajasthan",Rajasthan,NWR
4517,MKO,Markona,"Markuna, Orissa",Orissa,SER
4518,MKP,"Manikpur Junction","Manikpur, Uttar Pradesh","Uttar Pradesh",NCR
4519,MKPR,Muktapur,"Samastipur, Bihar",Bihar,ECR
4520,MKPT,Malikpeth,"State Highway 74, Maharashtra",Maharashtra,CR
4521,MKR,Maddikera,"Guntakal, Andhra Pradesh","Andhra Pradesh",SCR
4522,MKRA,Makrera,"Kharwa, Rajasthan",Rajasthan,NWR
4523,MKRD,Machhakunda,"Padwa Rd, Orissa",Orissa,ECoR
4524,MKRH,"Mallickpur Hat","Kumarganj- Patiram Rd, West Bengal","West Bengal",NFR
4525,MKRL,"Moti Koral","Maninageshwar Rd, Gujarat",Gujarat,WR
4526,MKRN,Makronia,"Rajakhedi, Madhya Pradesh","Madhya Pradesh",WCR
4527,MKS,Muktsar,"Muktsar, Punjab",Punjab,NR
4528,MKSP,"Mukhasa Parur","Mukhasa Parur, Tamil Nadu","Tamil Nadu",SR
4529,MKSR,Mokalsar,"Mokalsar, Rajasthan",Rajasthan,NWR
4530,MKT,"Mukhtiar Balwar","SH 27, Madhya Pradesh","Madhya Pradesh",WR
